,Continent,ObservationDate,Province_State,Country,Confirmed,Deaths,Recovered,latitude,longitude,Total Confirmed,Total Deaths,Total Recovered,Active Cases,days_since_first,previous_Confirmed,previous_Activecases,previous_Death,previous_Recovered,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Net migration,GDP ($ per capita),Deathrate
0,Asia,2020-01-22,Anhui,China,1.0,0.0,0.0,35.86166,104.195397,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
1,Asia,2020-01-22,Beijing,China,14.0,0.0,0.0,35.86166,104.195397,15.0,0.0,0.0,15.0,1,1.0,1.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
2,Asia,2020-01-22,Chongqing,China,6.0,0.0,0.0,35.86166,104.195397,21.0,0.0,0.0,21.0,2,14.0,15.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
3,Asia,2020-01-22,Fujian,China,1.0,0.0,0.0,35.86166,104.195397,22.0,0.0,0.0,22.0,3,6.0,21.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
4,Asia,2020-01-22,Gansu,China,0.0,0.0,0.0,35.86166,104.195397,22.0,0.0,0.0,22.0,4,1.0,22.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
5,Asia,2020-01-22,Guangdong,China,26.0,0.0,0.0,35.86166,104.195397,48.0,0.0,0.0,48.0,5,0.0,22.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
6,Asia,2020-01-22,Guangxi,China,2.0,0.0,0.0,35.86166,104.195397,50.0,0.0,0.0,50.0,6,26.0,48.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
7,Asia,2020-01-22,Guizhou,China,1.0,0.0,0.0,35.86166,104.195397,51.0,0.0,0.0,51.0,7,2.0,50.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
8,Asia,2020-01-22,Hainan,China,4.0,0.0,0.0,35.86166,104.195397,55.0,0.0,0.0,55.0,8,1.0,51.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
9,Asia,2020-01-22,Hebei,China,1.0,0.0,0.0,35.86166,104.195397,56.0,0.0,0.0,56.0,9,4.0,55.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
10,Asia,2020-01-22,Heilongjiang,China,0.0,0.0,0.0,35.86166,104.195397,56.0,0.0,0.0,56.0,10,1.0,56.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
11,Asia,2020-01-22,Henan,China,5.0,0.0,0.0,35.86166,104.195397,61.0,0.0,0.0,61.0,11,0.0,56.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
12,Asia,2020-01-22,Hong Kong,Hong Kong,0.0,0.0,0.0,22.396428,114.109497,61.0,0.0,0.0,61.0,0,0.0,0.0,0.0,0.0,6940432.0,1092.0,"6355,7","5,24",28800.0,"6,29"
13,Asia,2020-01-22,Hubei,China,444.0,17.0,28.0,35.86166,104.195397,505.0,17.0,28.0,550.0,0,0.0,0.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
14,Asia,2020-01-22,Hunan,China,4.0,0.0,0.0,35.86166,104.195397,509.0,17.0,28.0,554.0,1,444.0,550.0,17.0,28.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
15,Asia,2020-01-22,Inner Mongolia,China,0.0,0.0,0.0,35.86166,104.195397,509.0,17.0,28.0,554.0,2,4.0,554.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
16,Asia,2020-01-22,Jiangsu,China,1.0,0.0,0.0,35.86166,104.195397,510.0,17.0,28.0,555.0,3,0.0,554.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
17,Asia,2020-01-22,Jiangxi,China,2.0,0.0,0.0,35.86166,104.195397,512.0,17.0,28.0,557.0,4,1.0,555.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
18,Asia,2020-01-22,Jilin,China,0.0,0.0,0.0,35.86166,104.195397,512.0,17.0,28.0,557.0,5,2.0,557.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
19,Asia,2020-01-22,Liaoning,China,2.0,0.0,0.0,35.86166,104.195397,514.0,17.0,28.0,559.0,6,0.0,557.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
20,Asia,2020-01-22,Macau,Macao,1.0,0.0,0.0,22.198745,113.543873,515.0,17.0,28.0,560.0,0,0.0,0.0,0.0,0.0,453125.0,28.0,"16183,0","4,86",19400.0,"4,47"
21,Asia,2020-01-22,Ningxia,China,1.0,0.0,0.0,35.86166,104.195397,516.0,17.0,28.0,561.0,0,0.0,0.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
22,Asia,2020-01-22,Qinghai,China,0.0,0.0,0.0,35.86166,104.195397,516.0,17.0,28.0,561.0,1,1.0,561.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
23,Asia,2020-01-22,Shaanxi,China,0.0,0.0,0.0,35.86166,104.195397,516.0,17.0,28.0,561.0,2,0.0,561.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
24,Asia,2020-01-22,Shandong,China,2.0,0.0,0.0,35.86166,104.195397,518.0,17.0,28.0,563.0,3,0.0,561.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
25,Asia,2020-01-22,Shanghai,China,9.0,0.0,0.0,35.86166,104.195397,527.0,17.0,28.0,572.0,4,2.0,563.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
26,Asia,2020-01-22,Shanxi,China,1.0,0.0,0.0,35.86166,104.195397,528.0,17.0,28.0,573.0,5,9.0,572.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
27,Asia,2020-01-22,Sichuan,China,5.0,0.0,0.0,35.86166,104.195397,533.0,17.0,28.0,578.0,6,1.0,573.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
28,Asia,2020-01-22,Taiwan,Taiwan,1.0,0.0,0.0,23.69781,120.960515,534.0,17.0,28.0,579.0,0,0.0,0.0,0.0,0.0,23036087.0,35980.0,"640,3",0,23400.0,"6,48"
29,Asia,2020-01-22,Tianjin,China,4.0,0.0,0.0,35.86166,104.195397,538.0,17.0,28.0,583.0,0,0.0,0.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
